# linedensity[i]	correlation[i]/1024	correlation_fftw[i]	FourierComp_fftw[i]
0.162878	0.517404	0.517404	13836.7
0.198588	0.50874	0.50874	248.886
0.42132	0.496769	0.496769	257.84
0.469466	0.47755	0.47755	294.256
0.749363	0.451448	0.451448	224.734
0.878545	0.418047	0.418047	238.059
0.699696	0.37818	0.37818	242.426
1.04497	0.333106	0.333106	311.149
0.940399	0.283412	0.283412	346.14
1.00181	0.229376	0.229376	442.919
1.08395	0.171915	0.171915	674.49
1.04538	0.112443	0.112443	396.546
1.15991	0.052176	0.052176	479.977
0.995473	-0.00913819	-0.00913819	800.454
1.14255	-0.069922	-0.069922	757.741
0.91123	-0.128849	-0.128849	1187.08
1.02721	-0.185596	-0.185596	1737.67
0.991003	-0.238419	-0.238419	2753.64
0.725532	-0.287474	-0.287474	4957.82
0.578328	-0.331847	-0.331847	12685.5
0.552248	-0.370115	-0.370115	118242
0.619877	-0.402502	-0.402502	94322.8
0.389387	-0.428131	-0.428131	10995.3
0.186461	-0.446991	-0.446991	3413.24
0.136423	-0.458371	-0.458371	1736.73
-0.11196	-0.462249	-0.462249	1202.35
0.0183055	-0.458698	-0.458698	670.485
-0.373842	-0.447747	-0.447747	407.701
-0.507292	-0.429865	-0.429865	327.858
-0.3509	-0.404862	-0.404862	270.824
-0.617397	-0.373437	-0.373437	132.869
-0.745442	-0.336222	-0.336222	151.787
-0.793231	-0.293565	-0.293565	172.784
-0.900707	-0.246307	-0.246307	76.8363
-0.754776	-0.195478	-0.195478	141.211
-0.873016	-0.141386	-0.141386	73.2302
-0.923142	-0.0850089	-0.0850089	82.0604
-0.939498	-0.0269367	-0.0269367	47.985
-0.900371	0.031051	0.031051	35.7413
-0.82685	0.0884945	0.0884945	40.6587
-0.724571	0.144644	0.144644	106.611
-0.784314	0.198727	0.198727	40.4773
-0.597099	0.249491	0.249491	19.2664
-0.523238	0.295896	0.295896	10.4288
-0.405342	0.338176	0.338176	48.7326
-0.502743	0.375438	0.375438	52.5535
-0.239053	0.406385	0.406385	29.916
-0.160619	0.430898	0.430898	12.4233
-0.0131481	0.448742	0.448742	46.4467
0.00404611	0.459906	0.459906	6.54269
0.239332	0.464212	0.464212	15.2354
0.264787	0.460837	0.460837	0.783417
0.484533	0.450742	0.450742	5.06348
0.443007	0.433865	0.433865	5.37881
0.755411	0.410533	0.410533	1.60757
0.644872	0.380626	0.380626	8.7033
0.762549	0.34528	0.34528	14.3293
0.917532	0.304924	0.304924	13.8065
1.04212	0.260467	0.260467	1.96743
1.0801	0.212425	0.212425	3.37925
0.98192	0.160736	0.160736	7.00236
1.17378	0.107113	0.107113	5.87175
1.04324	0.0527057	0.0527057	7.07645
1.11102	-0.00212904	-0.00212904	3.99512
1.00213	-0.0569127	-0.0569127	9.84228
0.894291	-0.110041	-0.110041	11.767
0.903407	-0.161204	-0.161204	24.7593
0.914789	-0.209309	-0.209309	1.90493
0.834899	-0.253959	-0.253959	2.34152
0.729937	-0.294081	-0.294081	25.2787
0.598699	-0.328703	-0.328703	0.456663
0.481477	-0.358387	-0.358387	23.8152
0.331844	-0.381951	-0.381951	8.27952
0.258623	-0.39918	-0.39918	5.71858
0.180185	-0.409537	-0.409537	0.152095
0.0597608	-0.413749	-0.413749	0.102536
-0.104759	-0.411104	-0.411104	2.55743
-0.154915	-0.401807	-0.401807	0.318779
-0.308104	-0.386079	-0.386079	0.482061
-0.475552	-0.364129	-0.364129	14.3114
-0.468096	-0.336557	-0.336557	1.16984
-0.627654	-0.303499	-0.303499	33.9465
-0.666604	-0.265155	-0.265155	0.577425
-0.909298	-0.222772	-0.222772	1.11206
-0.902931	-0.177278	-0.177278	8.23941
-0.889649	-0.128757	-0.128757	3.03984
-0.967401	-0.0785879	-0.0785879	6.04824
-0.969705	-0.0265437	-0.0265437	1.97751
-0.900896	0.0256235	0.0256235	1.00595
-0.930705	0.0769904	0.0769904	3.87608
-0.88912	0.127096	0.127096	0.290417
-0.742166	0.175759	0.175759	2.18691
-0.699493	0.221183	0.221183	2.56498
-0.609058	0.26283	0.26283	15.4137
-0.509256	0.300814	0.300814	1.68785
-0.425718	0.334433	0.334433	3.20712
-0.306101	0.362309	0.362309	10.4283
-0.193678	0.384612	0.384612	17.0691
-0.128861	0.40089	0.40089	0.401983
0.0729558	0.411565	0.411565	7.76497
